visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y,bgra
ymin,-15.592915819848306,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-0.8377180112522917,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-1.0448689312956063,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-0.030307216376514786,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,1.2371965287783788,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,3.9047030334591524,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,6.002119038459764,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,5.91461360231463,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,4.550706548984913,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,0.44958553643696697,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-3.5551406084332244,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-6.511401704232013,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-9.024114370518447,,plot_unknown1,NONE_STR,NONE_STR,5.263157894736842,-14.882592358063123,
ymax,14.240669575129367,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-0.32847017515848886,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,0.09363754746336952,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,1.3467186139745044,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,3.43709618486082,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,5.175473617893301,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,5.3159535598133285,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,3.672993285708612,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,0.41568246508935824,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-3.418849119676184,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-8.245104425995251,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-12.050823530225705,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-9.646382226681405,,plot_group_style,NONE_STR,NONE_STR,5.789473684210526,-9.576068197536209,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,0.10870216278273463,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,1.0480898261384426,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,2.3463335593301644,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,3.550098058482267,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,4.618764992352387,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,3.1488369849773057,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,1.0102684611275214,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-2.9438715156053825,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-6.7319160200609325,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-7.533260125483856,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-9.79567000120551,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-7.508483096523868,,plot_use_automatic_legends,True,NONE_STR,6.315789473684211,-4.272680906400948,
,,,,,,,,,,,6.842105263157895,0.5424383171175575,,,,,6.842105263157895,1.9519808637765494,,,,,6.842105263157895,2.9846460337421514,,,,,6.842105263157895,3.7048673431767067,,,,,6.842105263157895,3.302221267792329,,,,,6.842105263157895,0.5260277796983494,,,,,6.842105263157895,-3.7813325059340306,,,,,6.842105263157895,-8.223235322927135,,,,,6.842105263157895,-9.366082315888807,,,,,6.842105263157895,-7.558602656713448,,,,,6.842105263157895,-8.765938163122716,,,,,6.842105263157895,-1.6478059045652667,,,,,6.842105263157895,3.1226194525007918,
,,,,,,,,,,,7.368421052631579,0.9287997856833605,,,,,7.368421052631579,2.044656343512271,,,,,7.368421052631579,2.765974913943412,,,,,7.368421052631579,2.406844259706354,,,,,7.368421052631579,0.6067095125414707,,,,,7.368421052631579,-2.698831940854804,,,,,7.368421052631579,-5.279043858209499,,,,,7.368421052631579,-8.50211153813244,,,,,7.368421052631579,-6.944042710930611,,,,,7.368421052631579,-8.344056257407434,,,,,7.368421052631579,-0.5194140847530146,,,,,7.368421052631579,0.7375505768877564,,,,,7.368421052631579,8.031788503741186,
,,,,,,,,,,,7.894736842105263,1.0325370541894117,,,,,7.894736842105263,1.8545012041346687,,,,,7.894736842105263,1.4152480654077082,,,,,7.894736842105263,0.2784332311044573,,,,,7.894736842105263,-1.9454686555033527,,,,,7.894736842105263,-4.782642869423442,,,,,7.894736842105263,-7.440815083282334,,,,,7.894736842105263,-7.68183678768196,,,,,7.894736842105263,-5.140880122880484,,,,,7.894736842105263,-1.0483077188597756,,,,,7.894736842105263,3.173766662628987,,,,,7.894736842105263,7.630167498692374,,,,,7.894736842105263,13.216827733849687,
,,,,,,,,,,,8.421052631578947,0.9928858524266773,,,,,8.421052631578947,0.7922742739686353,,,,,8.421052631578947,-0.141981653516506,,,,,8.421052631578947,-1.4697826066761353,,,,,8.421052631578947,-4.508196393207154,,,,,8.421052631578947,-4.86640141822945,,,,,8.421052631578947,-5.348420129045715,,,,,8.421052631578947,-4.918059492412066,,,,,8.421052631578947,0.15053209800790213,,,,,8.421052631578947,3.6091118549617205,,,,,8.421052631578947,9.837423145372007,,,,,8.421052631578947,11.7652290409103,,,,,8.421052631578947,11.061814658676035,
,,,,,,,,,,,8.947368421052632,0.4389640772356753,,,,,8.947368421052632,-0.32387073903857755,,,,,8.947368421052632,-1.6189846711769589,,,,,8.947368421052632,-3.022581710278905,,,,,8.947368421052632,-5.32536868051473,,,,,8.947368421052632,-6.049845300930059,,,,,8.947368421052632,-3.3233819181097766,,,,,8.947368421052632,-1.2167421446621818,,,,,8.947368421052632,3.3658194612220815,,,,,8.947368421052632,8.060050790754708,,,,,8.947368421052632,12.79733093932573,,,,,8.947368421052632,10.62196438048761,,,,,8.947368421052632,8.807102559403422,
,,,,,,,,,,,9.473684210526315,-0.01757998608854433,,,,,9.473684210526315,-1.0908465178149458,,,,,9.473684210526315,-2.5465106314614223,,,,,9.473684210526315,-2.976400146033079,,,,,9.473684210526315,-5.357348696642439,,,,,9.473684210526315,-3.266696732265141,,,,,9.473684210526315,-1.0406590752818559,,,,,9.473684210526315,2.10829981011424,,,,,9.473684210526315,7.469315557209798,,,,,9.473684210526315,9.682312609041741,,,,,9.473684210526315,9.711883441345991,,,,,9.473684210526315,7.998566665360679,,,,,9.473684210526315,2.929491555648425,
,,,,,,,,,,,10.0,-0.6294306848195422,,,,,10.0,-1.9107999020535908,,,,,10.0,-3.0219114871262622,,,,,10.0,-3.102469050558229,,,,,10.0,-2.126838818276513,,,,,10.0,0.06401231950605513,,,,,10.0,2.1528045568891647,,,,,10.0,6.74617576871477,,,,,10.0,9.197629568614357,,,,,10.0,8.831525766337869,,,,,10.0,6.901585684147134,,,,,10.0,2.2788983224609756,,,,,10.0,-1.5119659165472528,
