visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label,x,y,bgra,gw_param_keys 1,gw_param_values 1,label,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,label,x,xerr,y,bgra,gw_param_keys 3,gw_param_values 3,label,x,y,bgra,gw_param_keys 4,gw_param_values 4,label,y,x,bgra,gw_param_keys 5,gw_param_values 5,label,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,label,theta,r,bgra,gw_param_keys 7,gw_param_values 7,label,x,y,bgra,gw_param_keys 8,gw_param_values 8,label,x_lower,x,x_upper,y,bgra,gw_param_keys 9,gw_param_values 9,label,y_lower,y,y_upper,x,bgra,gw_param_keys 10,gw_param_values 10,label,x,y_lower,y,y_upper,bgra,gw_param_keys 11,gw_param_values 11,label,x,y,z,gw_param_keys 12,gw_param_values 12,label,x,y,z,class_names
ymin,-18,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,,5.263157894736842,0.06985897614774864,,plot_unknown1,NONE_STR,,,,,,plot_unknown1,NONE_STR,,,,,,plot_unknown1,NONE_STR,,,23.46418723609948,,plot_unknown1,NONE_STR,,,28.155008356803556,,plot_unknown1,NONE_STR,,5.263157894736842,6.002119038459764,0.30000000000000004,,plot_unknown1,NONE_STR,,2.1666156231653746,7.660902566074684,,plot_unknown1,NONE_STR,,7.893187801989228,13.808965308991446,,plot_unknown1,NONE_STR,,8.998955931812498,,9.001044068187502,6.540772970333128,,plot_unknown1,NONE_STR,,9.999395342985853,,10.000604657014147,8.102781755463027,,plot_unknown1,NONE_STR,,15.263157894736842,-0.02249297483533111,2.6636156526540495e-05,0.5698407422485174,,plot_unknown1,NONE_STR,,-2.9591836734693877,-5.0,2.7144830616037314,plot_unknown1,NONE_STR,,2.0,2.0,22054.0,
ymax,378,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,Standard Deviation,,5.789473684210526,0.10773491501182506,,plot_group_style,NONE_STR,,,,,,plot_group_style,NONE_STR,,,,,,plot_group_style,NONE_STR,,,13.313280329455766,,plot_group_style,NONE_STR,,,20.575918211290677,,plot_group_style,NONE_STR,,5.789473684210526,5.3159535598133285,0.30000000000000004,,plot_group_style,Standard Deviation,,2.383277185481912,6.200789443809808,,plot_group_style,NONE_STR,,8.014284794398167,14.609048649394554,,plot_group_style,NONE_STR,,8.998760319067099,,9.001239680932901,6.906623271956292,,plot_group_style,NONE_STR,,9.999284629176582,,10.000715370823418,8.498832531012942,,plot_group_style,NONE_STR,,15.789473684210526,0.04924415954804875,8.795465633236766e-06,0.06772475590657222,,plot_group_style,NONE_STR,,-2.7551020408163263,-5.0,3.4660032850693376,plot_group_style,NONE_STR,,2.0,3.0,21626.0,
,,,,,,,,plot_use_automatic_legends,True,,6.315789473684211,0.05657159701747222,,plot_use_automatic_legends,True,,,,,,plot_use_automatic_legends,True,,,,,,plot_use_automatic_legends,True,,,12.481777702752172,,plot_use_automatic_legends,True,,,30.637088972281294,,plot_use_automatic_legends,True,,6.315789473684211,3.1488369849773057,0.30000000000000004,,plot_use_automatic_legends,True,,2.5999387477984497,6.155062587204167,,plot_use_automatic_legends,True,,4.933805391057761,13.86464405238728,,plot_use_automatic_legends,True,,8.998532433225375,,9.001467566774625,7.272473573579457,,plot_use_automatic_legends,True,,9.999156136675227,,10.000843863324773,8.894883306562855,,plot_use_automatic_legends,True,,16.315789473684212,-0.03708099198957286,2.7478022674369204e-06,-0.7770535455302398,,plot_use_automatic_legends,True,,-2.5510204081632653,-5.0,2.639010631085132,plot_use_automatic_legends,True,,3.0,0.0,16022.0,
,,,,,,,,,,,6.842105263157895,0.015349408440910657,,,,,,,,,,,,,,,,,,,,28.41245268591751,,,,,,19.34795658187703,,,,,6.842105263157895,0.5260277796983494,0.30000000000000004,,,,,2.8166003101149872,7.051859962941731,,,,,5.527593405905676,12.998584201884212,,,,,8.99826781477257,,9.00173218522743,7.63832387520262,,,,,9.999007486193966,,10.000992513806034,9.290934082112768,,,,,16.842105263157894,-0.17730770177934746,8.121784894302118e-07,-1.1090629198852047,,,,,-2.3469387755102042,-5.0,2.971064338410945,,,,3.0,1.0,18874.0,
,,,,,,,,,,,7.368421052631579,0.02657905088383632,,,,,,,,,,,,,,,,,,,,19.302752940019992,,,,,,32.47014591595959,,,,,7.368421052631579,-2.698831940854804,0.30000000000000004,,,,,3.0332618724315243,6.498919124254536,,,,,5.848540570012609,13.10641305096317,,,,,8.997961545392792,,9.002038454607208,8.004174176825785,,,,,9.998836062842537,,10.001163937157463,9.686984857662683,,,,,17.36842105263158,0.2638495143324799,2.271207702251154e-07,-1.098576031743311,,,,,-2.142857142857143,-5.0,2.712841091876292,,,,3.0,2.0,13823.0,
,,,,,,,,,,,7.894736842105263,0.0186478834895203,,,,,,,,,,,,,,,,,,,,26.441880463876387,,,,,,36.74593305898364,,,,,7.894736842105263,-4.782642869423442,0.30000000000000004,,,,,3.249923434748062,7.034041139989408,,,,,4.684279091982695,14.027321027330311,,,,,8.997608227354405,,9.002391772645595,8.370024478448949,,,,,9.998639006011686,,10.001360993988314,10.083035633212596,,,,,17.894736842105264,-0.866279569770959,6.008991442504419e-08,-0.6204656282685117,,,,,-1.9387755102040813,-5.0,1.4351420993574697,,,,3.0,3.0,23318.0,
,,,,,,,,,,,8.421052631578947,0.07553617447898017,,,,,,,,,,,,,,,,,,,,20.021610797366556,,,,,,35.61426748556811,,,,,8.421052631578947,-4.86640141822945,0.30000000000000004,,,,,3.4665849970645994,6.949706177926271,,,,,6.954000855412243,16.242066265405438,,,,,8.997201966515336,,9.002798033484664,8.735874780072113,,,,,9.998413200917948,,10.001586799082052,10.479086408762509,,,,,18.421052631578945,-0.042934435713820794,1.5041310709840832e-08,0.15208899838305434,,,,,-1.7346938775510203,-5.0,3.3112667765354544,,,,,,,
,,,,,,,,,,,8.947368421052632,-0.009924303940344622,,,,,,,,,,,,,,,,,,,,23.100593699716953,,,,,,38.87852899673082,,,,,8.947368421052632,-6.049845300930059,0.30000000000000004,,,,,3.683246559381137,6.805242648441083,,,,,4.807783389903712,12.697555652294035,,,,,8.996736359818948,,9.003263640181052,9.101725081695278,,,,,9.998155272173896,,10.001844727826104,10.875137184312422,,,,,18.94736842105263,-0.16408189530847986,3.562124903083407e-09,0.2828667486894693,,,,,-1.5306122448979593,-5.0,3.048243895556935,,,,,,,
,,,,,,,,,,,9.473684210526315,0.015779910258261413,,,,,,,,,,,,,,,,,,,,16.47261601381524,,,,,,32.39863764850647,,,,,9.473684210526315,-3.266696732265141,0.30000000000000004,,,,,3.8999081216976745,7.092957552437438,,,,,6.84469015363904,14.344778776799274,,,,,8.996204488186315,,9.003795511813685,9.467575383318442,,,,,9.997861579756767,,10.002138420243233,11.271187959862335,,,,,19.473684210526315,0.8225949149619313,7.981269366828867e-10,-0.6490656110166811,,,,,-1.3265306122448979,-5.0,2.7202603102302003,,,,,,,
,,,,,,,,,,,10.0,-0.04265938703532376,,,,,,,,,,,,,,,,,,,,28.286375368387947,,,,,,32.944102762185224,,,,,10.0,0.06401231950605513,0.30000000000000004,,,,,4.116569684014212,5.663659859433295,,,,,-0.19667357448749634,10.587110159288473,,,,,8.995598915727111,,9.004401084272889,9.833425684941606,,,,,9.997528217749602,,10.002471782250398,11.66723873541225,,,,,20.0,0.18228729140713104,1.6918979226151304e-10,0.6956919441069844,,,,,-1.1224489795918364,-5.0,3.1235673208804564,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.185686658651253,,,,,,28.191566260071696,,,,,,,,,,,,4.333231246330749,6.807127822302916,,,,,5.36645044142169,14.289694299062576,,,,,8.994911696185637,,9.005088303814363,10.199275986564771,,,,,9.997151016221336,,10.002848983778664,12.063289510962163,,,,,,,,,,,,,-0.9183673469387754,-5.0,3.7198683932810432,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85620070675189,,,,,,29.270984647527456,,,,,,,,,,,,4.549892808647287,7.541879923840832,,,,,4.560650735841232,13.851011201421345,,,,,8.99413438750693,,9.00586561249307,10.565126288187935,,,,,9.99672554659485,,10.00327445340515,12.459340286512075,,,,,,,,,,,,,-0.7142857142857144,-5.0,3.5869249411945896,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.626121461802903,,,,,,20.4158024744782,,,,,,,,,,,,4.766554370963824,7.5170885656653414,,,,,6.109426484567685,14.67846812137852,,,,,8.993258075347807,,9.006741924652193,10.930976589811099,,,,,9.996247130823924,,10.003752869176076,12.85539106206199,,,,,,,,,,,,,-0.5102040816326525,-5.0,4.574336350697076,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06431768147459,,,,,,36.46345783113654,,,,,,,,,,,,4.983215933280362,6.4106734555684675,,,,,1.0121731998495642,11.452953585292393,,,,,8.992273406266124,,9.007726593733876,11.296826891434263,,,,,9.995710854660755,,10.004289145339245,13.251441837611903,,,,,,,,,,,,,-0.3061224489795915,-5.0,3.9478449761923686,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.361859961483106,,,,,,20.861621511323527,,,,,,,,,,,,5.199877495596899,5.645270113712673,,,,,4.410982707837545,14.366169224080473,,,,,8.991170631197004,,9.008829368802996,11.662677193057428,,,,,9.995111585244977,,10.004888414755023,13.647492613161816,,,,,,,,,,,,,-0.1020408163265305,-5.0,4.560457957879431,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.236622656052276,,,,,,24.160102198619857,,,,,,,,,,,,5.416539057913437,6.509186961066285,,,,,7.437831680769407,14.45598155528719,,,,,8.989939659665867,,9.010060340334133,12.028527494680592,,,,,9.994443993182657,,10.005556006817343,14.04354338871173,,,,,,,,,,,,,0.1020408163265305,-5.0,3.3020431271961703,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0811887982649,,,,,,31.822486582886448,,,,,,,,,,,,5.6332006202299745,7.771410305888918,,,,,4.883456805906703,13.701314429919584,,,,,8.988570124995283,,9.011429875004717,12.394377796303756,,,,,9.993702579210265,,10.006297420789735,14.439594164261642,,,,,,,,,,,,,0.3061224489795915,-5.0,3.0267403422478245,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.969203642867118,,,,,,33.41862022712158,,,,,,,,,,,,5.849862182546511,6.941353884393607,,,,,5.037376555551927,13.053648242691375,,,,,8.987051460536843,,9.012948539463157,12.760228097926921,,,,,9.992881705454414,,10.007118294545586,14.835644939811557,,,,,,,,,,,,,0.5102040816326534,-5.0,1.6670739748495724,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.068841421848802,,,,,,21.868205404345716,,,,,,,,,,,,6.066523744863049,6.000179668570509,,,,,2.7531795427579655,11.758587670706625,,,,,8.985372986703235,,9.014627013296765,13.126078399550085,,,,,9.991975631204586,,10.008024368795414,15.23169571536147,,,,,,,,,,,,,0.7142857142857144,-5.0,2.368708421196382,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.441648167420112,,,,,,25.4628296818754,,,,,,,,,,,,6.283185307179586,7.0367946986243,,,,,3.7211261751282025,15.040673052682164,,,,,8.983524008293402,,9.016475991706598,13.491928701173249,,,,,9.990978553014529,,10.009021446985471,15.627746490911383,,,,,,,,,,,,,0.9183673469387754,-5.0,1.9947910203194812,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.687728639453038,,,,,,13.967008717608612,,,,,,,,,,,,,,,,,,3.0445757736772476,13.254848511717544,,,,,8.98149392130079,,9.01850607869921,13.857779002796413,,,,,9.989884648840397,,10.010115351159603,16.023797266461298,,,,,,,,,,,,,1.1224489795918373,-5.0,3.6924768920200974,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69237079162653,,,,,,41.74788292007401,,,,,,,,,,,,,,,,,,4.003273528238336,13.706552632788386,,,,,8.979272328077935,,9.020727671922065,14.223629304419578,,,,,9.98868812581231,,10.01131187418769,16.41984804201121,,,,,,,,,,,,,1.3265306122448983,-5.0,3.531404050514064,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.439279631009736,12.776284549681884,,,,,8.97684915940893,,9.02315084059107,14.589479606042742,,,,,9.987383271123461,,10.012616728876539,16.815898817561123,,,,,,,,,,,,,1.5306122448979593,-5.0,2.88806722850007,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.923165837127843,18.02296558523611,,,,,8.974214801723997,,9.025785198276003,14.955329907665906,,,,,9.985964505410122,,10.014035494589878,17.211949593111036,,,,,,,,,,,,,1.7346938775510203,-5.0,1.7717592535347348,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735958047263547,9.848113728464199,,,,,8.971360227388491,,9.028639772611509,15.321180209289071,,,,,9.98442643789009,,10.01557356210991,17.60800036866095,,,,,,,,,,,,,1.9387755102040813,-5.0,3.4754816423918733,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063657303713903,18.386140688635372,,,,,8.968277125724013,,9.031722874275987,15.687030510912235,,,,,9.982763922429502,,10.017236077570498,18.004051144210862,,,,,,,,,,,,,2.1428571428571432,-5.0,1.1210961474246655,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7617185035224,12.894589906337792,,,,,8.96495803218378,,9.03504196781622,16.0528808125354,,,,,9.980972113622133,,10.019027886377867,18.40010191976078,,,,,,,,,,,,,2.3469387755102042,-5.0,2.4146187812104367,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.941002232350039,14.239109989767366,,,,,8.96139645292044,,9.03860354707956,16.41873111415856,,,,,9.979046521894395,,10.020953478105605,18.79615269531069,,,,,,,,,,,,,2.5510204081632653,-5.0,2.489193315055469,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0168081755899867,10.68504659419119,,,,,8.957586981863765,,9.042413018136235,16.78458141578173,,,,,9.976983066596746,,10.023016933403254,19.192203470860605,,,,,,,,,,,,,2.755102040816327,-5.0,1.25929530187533,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.710500877946659,11.807928034017268,,,,,8.953525407379232,,9.046474592620768,17.150431717404892,,,,,9.974778126011056,,10.025221873988944,19.588254246410518,,,,,,,,,,,,,2.959183673469388,-5.0,2.2981985377910976,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8841763096480393,10.799481385927113,,,,,8.949208805615443,,9.050791194384557,17.516282019028054,,,,,9.972428583196107,,10.027571416803893,19.98430502196043,,,,,,,,,,,,,3.163265306122449,-5.0,2.301753089476112,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.460778713475285,14.551915260788103,,,,,8.944635617776575,,9.055364382223425,17.882132320651223,,,,,9.969931866612397,,10.030068133387603,20.380355797510344,,,,,,,,,,,,,3.36734693877551,-5.0,2.496463143001143,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.790929114320143,11.82908738695265,,,,,8.939805708780057,,9.060194291219943,18.247982622274385,,,,,9.967285984513996,,10.032714015486004,20.776406573060257,,,,,,,,,,,,,3.571428571428571,-5.0,1.6675407152024135,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288849973560784,11.743776291047137,,,,,8.934720405081718,,9.065279594918282,18.613832923897547,,,,,9.96448955217059,,10.03551044782941,21.17245734861017,,,,,,,,,,,,,3.775510204081632,-5.0,3.0797336741607837,,,,,,,
