visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,y,x_lower,x_upper,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,y,x_lower,x_upper,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,y,x_lower,x_upper,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,y,x_lower,x_upper,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,y,x_lower,x_upper,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,y,x_lower,x_upper,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,y,x_lower,x_upper,bgra,gw_param_keys 13,gw_param_values 13,label 13,x,y,bgra,gw_param_keys 14,gw_param_values 14,label 14,y,x_lower,x_upper,bgra,gw_param_keys 15,gw_param_values 15,label 15,x,y,bgra,gw_param_keys 16,gw_param_values 16,label 16,y,x_lower,x_upper,bgra,gw_param_keys 17,gw_param_values 17,label 17,x,y,bgra,gw_param_keys 18,gw_param_values 18,label 18,y,x_lower,x_upper,bgra,gw_param_keys 19,gw_param_values 19,label 19,x,y,bgra,gw_param_keys 20,gw_param_values 20,label 20,y,x_lower,x_upper,bgra,gw_param_keys 21,gw_param_values 21,label 21,x,y,bgra,gw_param_keys 22,gw_param_values 22,label 22,y,x_lower,x_upper,bgra,gw_param_keys 23,gw_param_values 23,label 23,x,y,bgra,gw_param_keys 24,gw_param_values 24,label 24,y,x_lower,x_upper,bgra,gw_param_keys 25,gw_param_values 25,label 25,x,y,bgra
ymin,-40.123440179942364,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,0.45981819910122335,1.9601327516566178,2.039867248343382,,plot_unknown1,NONE_STR,NONE_STR,,11.826609979825003,,plot_unknown1,NONE_STR,NONE_STR,0.06222520647927077,3.950725271428562,4.049274728571438,,plot_unknown1,NONE_STR,NONE_STR,,15.78665063264373,,plot_unknown1,NONE_STR,NONE_STR,-3.202249891753043,5.918169385834553,6.081830614165447,,plot_unknown1,NONE_STR,NONE_STR,,19.716391870002894,,plot_unknown1,NONE_STR,NONE_STR,2.1062587198131055,7.962817831037695,8.037182168962305,,plot_unknown1,NONE_STR,NONE_STR,,34.863538257652515,,plot_unknown1,NONE_STR,NONE_STR,0.5671679476927824,9.932836737962248,10.067163262037752,,plot_unknown1,NONE_STR,NONE_STR,,60.94563352658974,,plot_unknown1,NONE_STR,NONE_STR,-2.1317697379232037,11.915513252124422,12.084486747875578,,plot_unknown1,NONE_STR,NONE_STR,,64.8781828218939,,plot_unknown1,NONE_STR,NONE_STR,0.1600450271474685,13.959072407943019,14.040927592056981,,plot_unknown1,NONE_STR,NONE_STR,,36.87707595013277,,plot_unknown1,NONE_STR,NONE_STR,-0.8311559422072641,15.948223088434911,16.05177691156509,,plot_unknown1,NONE_STR,NONE_STR,,100.54108291433103,,plot_unknown1,NONE_STR,NONE_STR,4.0780215010181,17.962732386932636,18.037267613067364,,plot_unknown1,NONE_STR,NONE_STR,,94.04187938233194,,plot_unknown1,NONE_STR,NONE_STR,0.42797230765624406,19.959367860000313,20.040632139999687,,plot_unknown1,NONE_STR,NONE_STR,,88.68403474654654,,plot_unknown1,NONE_STR,NONE_STR,2.7475295762304626,21.936746661410428,22.063253338589572,,plot_unknown1,NONE_STR,NONE_STR,,133.99298273675745,,plot_unknown1,NONE_STR,NONE_STR,-1.334659222006021,23.951064360491497,24.048935639508503,,plot_unknown1,NONE_STR,NONE_STR,,172.18447411612226,,plot_unknown1,NONE_STR,NONE_STR,1.6900082172176596,25.958197708315335,26.041802291684665,,plot_unknown1,NONE_STR,NONE_STR,,190.85201748590657,
ymax,298.86467971813045,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,NONE_STR,NONE_STR,0.7013417889973952,1.957610121415236,2.042389878584764,,plot_group_style,NONE_STR,NONE_STR,,7.206964453487215,,plot_group_style,NONE_STR,NONE_STR,0.5669789987203018,3.9438015615427444,4.056198438457256,,plot_group_style,NONE_STR,NONE_STR,,20.71017974550621,,plot_group_style,NONE_STR,NONE_STR,-2.3952805259654344,5.906383499272373,6.093616500727627,,plot_group_style,NONE_STR,NONE_STR,,12.888711440806595,,plot_group_style,NONE_STR,NONE_STR,3.065593942096317,7.960770634660785,8.039229365339216,,plot_group_style,NONE_STR,NONE_STR,,29.686750323380686,,plot_group_style,NONE_STR,NONE_STR,1.8186320502828384,9.925629527344018,10.074370472655982,,plot_group_style,NONE_STR,NONE_STR,,60.76264399548512,,plot_group_style,NONE_STR,NONE_STR,-0.5776930580272897,11.904869069960139,12.095130930039861,,plot_group_style,NONE_STR,NONE_STR,,53.791313013630784,,plot_group_style,NONE_STR,NONE_STR,1.9281451530424718,13.953874644533096,14.046125355466904,,plot_group_style,NONE_STR,NONE_STR,,95.33868808456666,,plot_group_style,NONE_STR,NONE_STR,1.3158760186091278,15.940135366396367,16.05986463360363,,plot_group_style,NONE_STR,NONE_STR,,159.9532130200805,,plot_group_style,NONE_STR,NONE_STR,6.25326146301764,17.959346390241123,18.040653609758877,,plot_group_style,NONE_STR,NONE_STR,,126.20090040524153,,plot_group_style,NONE_STR,NONE_STR,2.948783135310517,19.954276430689927,20.045723569310073,,plot_group_style,NONE_STR,NONE_STR,,82.61976045749304,,plot_group_style,NONE_STR,NONE_STR,5.462781992022098,21.930589678096897,22.069410321903103,,plot_group_style,NONE_STR,NONE_STR,,53.268676326766446,,plot_group_style,NONE_STR,NONE_STR,1.737104302601729,23.94334766644544,24.05665233355456,,plot_group_style,NONE_STR,NONE_STR,,81.17817732413957,,plot_group_style,NONE_STR,NONE_STR,4.938362439566582,25.954039331835954,26.045960668164046,,plot_group_style,NONE_STR,NONE_STR,,114.49900812134749,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,0.9428653788935666,1.9558910885865846,2.0441089114134154,,plot_use_automatic_legends,True,NONE_STR,,12.934666744388288,,plot_use_automatic_legends,True,NONE_STR,1.0717327909613328,3.9364663391153254,4.063533660884675,,plot_use_automatic_legends,True,NONE_STR,,28.298491033061882,,plot_use_automatic_legends,True,NONE_STR,-1.588311160177824,5.894543999083019,6.105456000916981,,plot_use_automatic_legends,True,NONE_STR,,40.40801130014619,,plot_use_automatic_legends,True,NONE_STR,4.024929164379531,7.959550495018223,8.040449504981776,,plot_use_automatic_legends,True,NONE_STR,,23.28382509977618,,plot_use_automatic_legends,True,NONE_STR,3.070096152872896,9.918943279844175,10.081056720155825,,plot_use_automatic_legends,True,NONE_STR,,48.81914681203858,,plot_use_automatic_legends,True,NONE_STR,0.9763836218686244,11.894528649526842,12.105471350473158,,plot_use_automatic_legends,True,NONE_STR,,80.37260297734998,,plot_use_automatic_legends,True,NONE_STR,3.6962452789374716,13.94848344982601,14.05151655017399,,plot_use_automatic_legends,True,NONE_STR,,51.24612468275116,,plot_use_automatic_legends,True,NONE_STR,3.4629079794255198,15.93155418090193,16.06844581909807,,plot_use_automatic_legends,True,NONE_STR,,73.59506586491312,,plot_use_automatic_legends,True,NONE_STR,8.428501425017185,17.956213823059493,18.043786176940507,,plot_use_automatic_legends,True,NONE_STR,,55.42649686745735,,plot_use_automatic_legends,True,NONE_STR,5.469593962964787,19.949083367183825,20.050916632816175,,plot_use_automatic_legends,True,NONE_STR,,150.73583000674134,,plot_use_automatic_legends,True,NONE_STR,8.178034407813733,21.92522164629251,22.07477835370749,,plot_use_automatic_legends,True,NONE_STR,,96.95857971486508,,plot_use_automatic_legends,True,NONE_STR,4.808867827209475,23.9349757289898,24.0650242710102,,plot_use_automatic_legends,True,NONE_STR,,145.64106951595156,,plot_use_automatic_legends,True,NONE_STR,8.186716661915497,25.950144412203475,26.049855587796525,,plot_use_automatic_legends,True,NONE_STR,,101.89699245787517,
,,,,,,,,,,,1.1843889687897384,1.9549220724510008,2.045077927548999,,,,,,7.789245818064215,,,,,1.5764865832023638,3.9286484468852554,4.071351553114745,,,,,,14.960899843382302,,,,,-0.7813417943902152,5.8829346773255375,6.1170653226744625,,,,,,21.911635372752365,,,,,4.984264386662742,7.959065341364112,8.040934658635887,,,,,,34.99877604267533,,,,,4.321560255462952,9.912857805212168,10.087142194787832,,,,,,56.74736277725721,,,,,2.5304603017645384,11.884696894516539,12.115303105483461,,,,,,60.6206479899937,,,,,5.464345404832471,13.942794586837245,14.057205413162755,,,,,,25.78787627975938,,,,,5.609939940241915,15.922505406732906,16.077494593267094,,,,,,44.34922957830955,,,,,10.603741387016726,17.953183194786856,18.046816805213144,,,,,,102.69757835434658,,,,,7.99040479061906,19.94374811435962,20.05625188564038,,,,,,155.30961330153394,,,,,10.893286823605365,21.920707547345152,22.079292452654848,,,,,,119.43757770614567,,,,,7.880631351817222,23.92589387649493,24.07410612350507,,,,,,131.3193240905062,,,,,11.43507088426442,25.946456061468698,26.053543938531302,,,,,,167.03081897699118,
,,,,,,,,,,,1.4259125586859098,1.9545188194087666,2.0454811805912336,,,,,,9.103802145479435,,,,,2.081240375443395,3.9202316423438712,4.079768357656129,,,,,,27.110200605911505,,,,,0.025627571397393467,5.871813255090518,6.128186744909482,,,,,,24.15621013798153,,,,,5.943599608945956,7.959071326078418,8.04092867392158,,,,,,39.49179885820897,,,,,5.573024358053008,9.907350375018845,10.092649624981155,,,,,,76.30243263935444,,,,,4.084536981660449,11.87548412144963,12.12451587855037,,,,,,94.59976474147196,,,,,7.232445530727475,13.936618820203666,14.063381179796334,,,,,,69.24616238634313,,,,,7.756971901058307,15.912987100901772,16.08701289909823,,,,,,82.7347152273033,,,,,12.778981349016266,17.949990751338703,18.050009248661297,,,,,,119.88016444897761,,,,,10.511215618273333,19.938175730792562,20.061824269207438,,,,,,131.67184957491202,,,,,13.608539239396997,21.91696945903482,22.08303054096518,,,,,,93.90124465408942,,,,,10.952394876424968,23.916018434371324,24.083981565628676,,,,,,114.04519565638834,,,,,14.683425106613342,25.9428144547345,26.0571855452655,,,,,,162.69405374611256,
,,,,,,,,,,,1.6674361485820817,1.9543707559761283,2.0456292440238717,,,,,,8.618237875195831,,,,,2.585994167684426,3.9110615804658244,4.088938419534176,,,,,,7.218949090013208,,,,,0.8325969371850039,5.861386198175408,6.138613801824592,,,,,,28.610708975221808,,,,,6.902934831229167,7.959171975632269,8.040828024367732,,,,,,40.60808052293656,,,,,6.824488460643064,9.902290530948846,10.097709469051154,,,,,,40.88033564544868,,,,,5.638613661556363,11.866874014497908,12.133125985502092,,,,,,62.85708946342387,,,,,9.000545656622474,13.929675029410133,14.070324970589867,,,,,,51.02817579991433,,,,,9.904003861874703,15.902962931689338,16.097037068310662,,,,,,96.51435599771807,,,,,14.954221311015804,17.94627449557796,18.05372550442204,,,,,,88.357838824911,,,,,13.032026445927606,19.932218461594942,20.067781538405058,,,,,,88.14139710924778,,,,,16.323791655188636,21.913775681827364,22.086224318172636,,,,,,85.7659625188976,,,,,14.024158401032714,23.905237559345487,24.094762440654513,,,,,,189.30583603512517,,,,,17.931779328962257,25.93894919655691,26.06105080344309,,,,,,105.25135842487796,
,,,,,,,,,,,1.908959738478253,1.9540621755463619,2.045937824453638,,,,,,6.7336210419724365,,,,,3.090747959925457,3.900959958493684,4.099040041506316,,,,,,23.800333097938523,,,,,1.6395663029726126,5.851787654226699,6.148212345773301,,,,,,27.08478580663727,,,,,7.862270053512381,7.958834298341056,8.041165701658944,,,,,,33.13260782528194,,,,,8.07595256323312,9.897450773790085,10.102549226209915,,,,,,48.80023939737287,,,,,7.192690341452277,11.85870233706157,12.14129766293843,,,,,,48.009831784038184,,,,,10.768645782517474,13.921591901203005,14.078408098796995,,,,,,114.44820345234702,,,,,12.051035822691095,15.892359632473871,16.10764036752613,,,,,,89.35361239299263,,,,,17.129461273015348,17.94160395431828,18.05839604568172,,,,,,121.35933618768179,,,,,15.55283727358188,19.9256853317213,20.0743146682787,,,,,,85.23313837545041,,,,,19.039044070980268,21.910750784366122,22.089249215633878,,,,,,122.40366966103885,,,,,17.09592192564046,23.89341625358154,24.10658374641846,,,,,,51.01580958485904,,,,,21.18013355131118,25.934482712243213,26.065517287756787,,,,,,151.88895930639313,
,,,,,,,,,,,2.1504833283744245,1.9531074362018506,2.046892563798149,,,,,,8.272687762990692,,,,,3.595501752166488,3.889743672934035,4.110256327065965,,,,,,16.658503656440104,,,,,2.4465356687602213,5.843065238220869,6.156934761779131,,,,,,6.771898825332496,,,,,8.821605275795594,7.9574205549176975,8.042579445082302,,,,,,20.037168913946832,,,,,9.327416665823176,9.89253248353899,10.10746751646101,,,,,,59.488848533046195,,,,,8.746767021348191,11.850650945464048,12.149349054535952,,,,,,64.73977239372009,,,,,12.536745908412474,13.911919093275744,14.088080906724256,,,,,,70.97792396645129,,,,,14.198067783507486,15.881069016540152,16.118930983459848,,,,,,86.8888407985734,,,,,19.304701235014893,17.935521802152635,18.064478197847365,,,,,,67.13961875547169,,,,,18.073648101236152,19.91835906158496,20.08164093841504,,,,,,143.0090102561399,,,,,21.7542964867719,21.907407207813733,22.092592792186267,,,,,,99.10300552383725,,,,,20.167685450248207,23.88040499213465,24.11959500786535,,,,,,95.60887465441624,,,,,24.428487773660102,25.928944941906344,26.071055058093656,,,,,,149.68998953072034,
,,,,,,,,,,,2.3920069182705963,1.9509946513299234,2.0490053486700766,,,,,,4.951297687046834,,,,,4.100255544407519,3.877245403282926,4.1227545967170744,,,,,,24.45249638412288,,,,,3.253505034547832,5.835174455492445,6.164825544507555,,,,,,32.68818021723665,,,,,9.780940498078806,7.954232671920746,8.045767328079254,,,,,,20.981593044424773,,,,,10.578880768413232,9.887203397037753,10.112796602962247,,,,,,64.6870942887221,,,,,10.300843701244105,11.842260116700315,12.157739883299685,,,,,,36.77313110199718,,,,,14.304846034307474,13.900147753913437,14.099852246086563,,,,,,39.949664496716366,,,,,16.34509974432388,15.86895428410314,16.13104571589686,,,,,,38.53193608566136,,,,,21.47994119701443,17.92759115221756,18.07240884778244,,,,,,95.84864530001985,,,,,20.594458928890425,19.910018191402454,20.089981808597546,,,,,,100.7466541137835,,,,,24.469548902563538,21.903195428783537,22.096804571216463,,,,,,14.290312486753123,,,,,23.239448974855954,23.86605066825282,24.13394933174718,,,,,,178.93464842711208,,,,,27.676841996009017,25.92179803750873,26.07820196249127,,,,,,160.35799249618958,
,,,,,,,,,,,2.633530508166768,1.947230529736062,2.052769470263938,,,,,,10.687555743112064,,,,,4.60500933664855,3.8633311924624048,4.136668807537595,,,,,,23.942701463462186,,,,,4.0604744003354405,5.827982282239349,6.172017717760651,,,,,,17.415026473716864,,,,,10.740275720362018,7.948565122323029,8.05143487767697,,,,,,53.37616623289799,,,,,11.830344871003287,9.881140400978172,10.118859599021828,,,,,,44.19167211041913,,,,,11.854920381140015,11.832960018148555,12.167039981851445,,,,,,51.20162317061343,,,,,16.072946160202477,13.88573930505428,14.11426069494572,,,,,,80.5571015484038,,,,,18.492131705140277,15.855859518047897,16.144140481952103,,,,,,70.9883647234889,,,,,23.655181159013974,17.917441280664498,18.082558719335502,,,,,,77.8578587805306,,,,,23.1152697565447,19.900461114480457,20.099538885519543,,,,,,157.6246835525855,,,,,27.18480131835517,21.897566284360483,22.102433715639517,,,,,,95.06330146107265,,,,,26.3112124994637,23.8502080456533,24.1497919543467,,,,,,182.53515736564697,,,,,30.92519621835794,25.912468438713816,26.087531561286184,,,,,,93.63809302684604,
,,,,,,,,,,,2.875054098062939,1.9413784309700461,2.058621569029954,,,,,,4.73012432970255,,,,,5.109763128889581,3.847910624919947,4.1520893750800525,,,,,,23.3338362122825,,,,,4.867443766123049,5.821279050244853,6.178720949755147,,,,,,27.44234328131993,,,,,11.699610942645233,7.939761410921081,8.060238589078919,,,,,,41.359294352913054,,,,,13.081808973593343,9.874069887842424,10.125930112157576,,,,,,54.46356362778984,,,,,13.40899706103593,11.822119572699755,12.177880427300245,,,,,,58.18534702795269,,,,,17.841046286097473,13.86816057180203,14.13183942819797,,,,,,93.45659830260459,,,,,20.63916366595667,15.841620575923324,16.158379424076678,,,,,,63.67882902594018,,,,,25.83042112101351,17.904804989052472,18.095195010947528,,,,,,96.62152819157507,,,,,25.63608058419897,19.88952801168497,20.11047198831503,,,,,,114.99555099525423,,,,,29.900053734146802,21.89003655679459,22.10996344320541,,,,,,155.64068273500632,,,,,29.382976024071446,23.832749738874824,24.167250261125176,,,,,,51.09097080957257,,,,,34.17355044070686,25.90038289045118,26.09961710954882,,,,,,156.25001495144124,
,,,,,,,,,,,3.116577687959111,1.933082529668066,2.066917470331934,,,,,,12.533897855994844,,,,,5.614516921130612,3.830936231724625,4.169063768275375,,,,,,31.358352162997384,,,,,5.674413131910658,5.814796562281982,6.185203437718018,,,,,,30.523750888408927,,,,,12.658946164928444,7.92726889898558,8.07273110101442,,,,,,30.891530974664832,,,,,14.3332730761834,9.865797884859406,10.134202115140594,,,,,,22.172624837901434,,,,,14.963073740931844,11.809108352175297,12.190891647824703,,,,,,32.29904794142753,,,,,19.609146411992477,13.846922742358164,14.153077257641836,,,,,,72.61992448988282,,,,,22.78619562677306,15.826075214184025,16.173924785815977,,,,,,66.49132743848138,,,,,28.005661083013056,17.889542564766515,18.110457435233485,,,,,,48.039097313004994,,,,,28.156891411853245,19.877116626842835,20.122883373157165,,,,,,102.13385669138283,,,,,32.61530614993844,21.880247793890085,22.119752206109915,,,,,,163.58941324278044,,,,,32.4547395486792,23.81357298777596,24.18642701222404,,,,,,94.09355314701365,,,,,37.421904663055784,25.885004802178695,26.114995197821305,,,,,,175.5286444315596,
,,,,,,,,,,,3.358101277855283,1.9220732290504887,2.0779267709495115,,,,,,10.831659590230364,,,,,6.119270713371643,3.812390692479151,4.187609307520849,,,,,,20.383564351682804,,,,,6.481382497698267,5.808229527180013,6.191770472819987,,,,,,33.40679694068187,,,,,13.618281387211656,7.910686485473814,8.089313514526186,,,,,,40.334091231008635,,,,,15.584737178773455,9.856223715145886,10.143776284854114,,,,,,49.52583470965563,,,,,16.517150420827758,11.793364847355996,12.206635152644004,,,,,,54.059328735760886,,,,,21.37724653788748,13.821621286960886,14.178378713039114,,,,,,59.725014884406384,,,,,24.933227587589453,15.809070355291466,16.190929644708532,,,,,,83.78094643173011,,,,,30.180901045012593,17.871649876493837,18.128350123506163,,,,,,90.16349407515612,,,,,30.677702239507518,19.86318849518325,20.13681150481675,,,,,,113.20732488783584,,,,,35.33055856573007,21.868008850952947,22.131991149047053,,,,,,112.56105556163313,,,,,35.526503073286946,23.79260212664902,24.20739787335098,,,,,,86.50165334530041,,,,,40.67025888540471,25.865867820226704,26.134132179773296,,,,,,123.63083371503562,
,,,,,,,,,,,3.5996248677514546,1.9081524294139098,2.09184757058609,,,,,,12.558704598920823,,,,,6.624024505612674,3.792262963649478,4.207737036350522,,,,,,23.59389930026624,,,,,7.288351863485879,5.801257100424976,6.198742899575024,,,,,,32.592604677908014,,,,,14.577616609494868,7.889799740112996,8.110200259887005,,,,,,47.98835030700279,,,,,16.83620128136351,9.845333854284627,10.154666145715373,,,,,,49.73701286889393,,,,,18.07122710072367,11.774462881905826,12.225537118094174,,,,,,81.39048191664449,,,,,23.145346663782476,13.791973830419654,14.208026169580346,,,,,,85.0244454826044,,,,,27.080259548405845,15.7904649781023,16.2095350218977,,,,,,125.7050789309719,,,,,32.35614100701214,17.8512508618407,18.1487491381593,,,,,,113.75120650173828,,,,,33.19851306716179,19.84776357937848,20.15223642062152,,,,,,104.4055007295336,,,,,38.045810981521704,21.853314740908687,22.146685259091313,,,,,,110.87394384360047,,,,,38.59826659789469,23.7697865589072,24.2302134410928,,,,,,106.18670341516514,,,,,43.918613107753615,25.84260442608669,26.15739557391331,,,,,,137.94469025995156,
,,,,,,,,,,,3.8411484576476256,1.8911615176470193,2.1088384823529807,,,,,,10.583798809132354,,,,,7.128778297853705,3.7705171867188354,4.229482813281164,,,,,,15.107968094668841,,,,,8.095321229273488,5.793561587461668,6.206438412538332,,,,,,30.261103374056873,,,,,15.536951831778083,7.864598754634658,8.135401245365342,,,,,,48.97842686003286,,,,,18.08766538395357,9.833176365317225,10.166823634682775,,,,,,53.383871817244874,,,,,19.625303780619586,11.752167360505391,12.247832639494609,,,,,,60.2739814766405,,,,,24.91344678967748,13.757853021529774,14.242146978470226,,,,,,66.8509364276857,,,,,29.227291509222237,15.770128120931501,16.229871879068497,,,,,,59.84818729105781,,,,,34.53138096901168,17.828576878774935,18.171423121225065,,,,,,86.57959887369059,,,,,35.71932389481606,19.830903106496834,20.169096893503166,,,,,,125.5534924315176,,,,,40.76106339731334,21.83633775838721,22.16366224161279,,,,,,109.91187655205204,,,,,41.67003012250244,23.745095052918924,24.254904947081076,,,,,,160.17403284082152,,,,,47.16696733010254,25.81496851678207,26.18503148321793,,,,,,89.93201953075524,
,,,,,,,,,,,4.082672047543797,1.8709393248967325,2.1290606751032675,,,,,,13.931913147174873,,,,,7.633532090094736,3.747060580037229,4.252939419962771,,,,,,15.659975147099258,,,,,8.902290595061096,5.784842134582705,6.215157865417295,,,,,,28.960546023840422,,,,,16.496287054061295,7.835275569162395,8.164724430837605,,,,,,36.826233152179675,,,,,19.339129486543627,9.819820097055366,10.180179902944634,,,,,,52.77789902312893,,,,,21.1793804605155,11.726471155888335,12.273528844111665,,,,,,65.40069269811437,,,,,26.681546915572483,13.71931164336244,14.28068835663756,,,,,,42.692125711473494,,,,,31.374323470038636,15.74793276837281,16.25206723162719,,,,,,54.91501949795661,,,,,36.706620931011216,17.80393667861493,18.19606332138507,,,,,,64.4993178152134,,,,,38.24013472247033,19.8126824652862,20.1873175347138,,,,,,80.26068809955629,,,,,43.47631581310497,21.817390979112496,22.182609020887504,,,,,,73.42392927165244,,,,,44.741793647110185,23.71850806137555,24.28149193862445,,,,,,72.33069702130747,,,,,50.41532155245146,25.782851967916532,26.217148032083468,,,,,,153.6475647392393,
,,,,,,,,,,,4.324195637439969,1.847280907573302,2.1527190924266977,,,,,,14.631530800197392,,,,,8.138285882335767,3.721717974499521,4.278282025500479,,,,,,26.766087800250155,,,,,9.709259960848705,5.774822322530829,6.225177677469171,,,,,,18.31090495007305,,,,,17.455622276344506,7.8022006601128195,8.19779933988718,,,,,,28.335207019046287,,,,,20.590593589133682,9.805305950089796,10.194694049910204,,,,,,55.969389673030705,,,,,22.733457140411414,11.69760678298169,12.30239321701831,,,,,,58.05433794806484,,,,,28.44964704146748,13.676597553499258,14.323402446500742,,,,,,120.30219241261746,,,,,33.521355430855024,15.723747691245679,16.276252308754323,,,,,,106.3198506735987,,,,,38.88186089301077,17.777681033297903,18.222318966702097,,,,,,78.36227803165585,,,,,40.7609455501246,19.793157990680704,20.206842009319296,,,,,,77.55088391974776,,,,,46.19156822889661,21.796868489473066,22.203131510526934,,,,,,98.97781016729408,,,,,47.81355717171793,23.690010340895657,24.309989659104343,,,,,,99.4443432613021,,,,,53.66367577480038,25.74629587194938,26.25370412805062,,,,,,83.75512182912382,
,,,,,,,,,,,4.565719227336141,1.8199098523115675,2.1800901476884325,,,,,,8.412855927137574,,,,,8.643039674576798,3.6942208086583146,4.305779191341685,,,,,,26.602813485462484,,,,,10.516229326636314,5.763251765319326,6.236748234680674,,,,,,30.363293960009923,,,,,18.41495749862772,7.765881360547652,8.234118639452348,,,,,,40.1883709748084,,,,,21.84205769172374,9.789599327551828,10.210400672448172,,,,,,66.41444557306347,,,,,24.28753382030732,11.666029447283503,12.333970552716497,,,,,,51.8461994912434,,,,,30.217747167362482,13.630156548741981,14.369843451258019,,,,,,49.06397119625703,,,,,35.668387391671416,15.697430324589815,16.302569675410183,,,,,,72.81410458653804,,,,,41.057100855010304,17.750165565298996,18.249834434701004,,,,,,103.00286436173629,,,,,43.281756377778876,19.772332995490963,20.227667004509037,,,,,,118.6145918301735,,,,,48.906820644688246,21.775170424227074,22.224829575772926,,,,,,119.2728449294798,,,,,50.88532069632568,23.659586277360155,24.340413722639845,,,,,,64.0470802032718,,,,,56.912029997149304,25.70549734186618,26.29450265813382,,,,,,85.14183811636505,
,,,,,,,,,,,4.8072428172323125,1.7884760356570861,2.2115239643429137,,,,,,8.030583107975408,,,,,9.147793466817829,3.664217042000039,4.335782957999961,,,,,,21.416906346317827,,,,,11.323198692423922,5.749902878777058,6.250097121222942,,,,,,28.677011016554285,,,,,19.374292720910933,7.726908501669652,8.273091498330347,,,,,,43.85964979449576,,,,,23.093521794313794,9.77255304611427,10.22744695388573,,,,,,27.90129837992361,,,,,25.841610500203235,11.63237178029815,12.36762821970185,,,,,,28.986685958353604,,,,,31.985847293257486,13.580621941658649,14.419378058341351,,,,,,68.84841430833285,,,,,37.81541935248781,15.668824224155102,16.331175775844898,,,,,,114.05997078087634,,,,,43.23234081700984,17.721714544975754,18.278285455024246,,,,,,137.64418285550147,,,,,45.80256720543315,19.75012921351978,20.24987078648022,,,,,,105.41209341195845,,,,,51.62207306047987,21.752623525739935,22.247376474260065,,,,,,108.20791729951567,,,,,53.957084220933424,23.627219965028146,24.372780034971854,,,,,,116.43386990767456,,,,,60.160384219498226,25.660812476458172,26.339187523541828,,,,,,137.2085004171217,
,,,,,,,,,,,5.048766407128484,1.7525869647990824,2.2474130352009176,,,,,,9.395482896691869,,,,,9.65254725905886,3.6313056121697302,4.36869438783027,,,,,,17.704088126523267,,,,,12.130168058211535,5.734564749488759,6.265435250511241,,,,,,35.971378279408256,,,,,20.333627943194145,7.685900029769802,8.314099970230199,,,,,,20.75713975036959,,,,,24.34498589690385,9.753888483747845,10.246111516252155,,,,,,48.83587295216605,,,,,27.39568718009915,11.597374623225546,12.402625376774454,,,,,,31.612357466026793,,,,,33.75394741915248,13.528790534141166,14.471209465858834,,,,,,68.0235319358419,,,,,39.9624513133042,15.637764351773766,16.362235648226235,,,,,,78.59138985213745,,,,,45.40758077900938,17.692587808998482,18.307412191001518,,,,,,103.8451411039125,,,,,48.32337803308742,19.726369690424878,20.273630309575122,,,,,,92.9649369396484,,,,,54.33732547627151,21.729409100914303,22.270590899085697,,,,,,97.32495582584426,,,,,57.02884774554117,23.592901304637287,24.407098695362713,,,,,,77.21829376941736,,,,,63.408738441847134,25.612755437392774,26.387244562607226,,,,,,77.57037571152057,
,,,,,,,,,,,5.290289997024656,1.711874264228462,2.2881257357715383,,,,,,7.898152501513229,,,,,10.157301051299891,3.595095056014364,4.404904943985636,,,,,,25.455720040051673,,,,,12.937137423999143,5.717036417514653,6.282963582485347,,,,,,37.615894525448354,,,,,21.292963165477357,7.643450961864796,8.356549038135205,,,,,,50.29299829452496,,,,,25.596449999493906,9.733199908470054,10.266800091529946,,,,,,42.53509660983419,,,,,28.949763859995063,11.56180201780741,12.43819798219259,,,,,,52.32394891393763,,,,,35.522047545047485,13.475585763818628,14.524414236181372,,,,,,52.209198810774325,,,,,42.109483274120606,15.604092366482488,16.395907633517513,,,,,,81.45779210021352,,,,,47.582820741008916,17.662952806096957,18.337047193903043,,,,,,65.27132740294589,,,,,50.844188860741696,19.700778027448816,20.299221972551184,,,,,,160.38612087525672,,,,,57.05257789206315,21.705509777210615,22.294490222789385,,,,,,67.50804328813899,,,,,60.10061127014892,23.55663832526245,24.44336167473755,,,,,,93.13855942512306,,,,,66.65709266419606,25.561992821793464,26.438007178206536,,,,,,79.66616121895584,
