visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,ii,label,x,y,bgra,gw_param_keys 1,gw_param_values 1,ii,label,y,x,bgra,gw_param_keys 2,gw_param_values 2,ii,label,x,y,yerr,bgra,gw_param_keys 3,gw_param_values 3,ii,label,x,xerr,y,bgra,gw_param_keys 4,gw_param_values 4,ii,label,x,y,bgra,gw_param_keys 5,gw_param_values 5,ii,label,y,x,bgra,gw_param_keys 6,gw_param_values 6,ii,label,x,y,yerr,bgra,gw_param_keys 7,gw_param_values 7,ii,label,theta,r,bgra,gw_param_keys 8,gw_param_values 8,ii,label,x,y,bgra,gw_param_keys 9,gw_param_values 9,ii,label,x_lower,x,x_upper,y,bgra,gw_param_keys 10,gw_param_values 10,ii,label,y_lower,y,y_upper,x,bgra,gw_param_keys 11,gw_param_values 11,ii,label,x,y_lower,y,y_upper,bgra,gw_param_keys 12,gw_param_values 12,ii,label,x,y,z,gw_param_keys 13,gw_param_values 13,ii,label,x,y,z,class_names
ymin,-25.812855837446453,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,,,5.263157894736842,0.06985897614774864,,plot_unknown1,NONE_STR,,,6.263157894736842,0.9121602562884058,,plot_unknown1,NONE_STR,,,,,,,plot_unknown1,NONE_STR,,,,,,,plot_unknown1,NONE_STR,,,,28.155008356803556,,plot_unknown1,NONE_STR,,,,45.34826538492099,,plot_unknown1,NONE_STR,,,5.263157894736842,5.91461360231463,0.32000000000000006,,plot_unknown1,NONE_STR,,,2.1666156231653746,5.341162095208259,,plot_unknown1,NONE_STR,,,12.863499535834752,20.852079780514003,,plot_unknown1,NONE_STR,,,9.999395342985853,,10.000604657014147,8.102781755463027,,plot_unknown1,NONE_STR,,,10.998987356122779,,11.001012643877221,9.6902483815665,,plot_unknown1,NONE_STR,,,16.263157894736842,-0.2971013612653669,0.01978730553602573,0.2622925316757568,,plot_unknown1,NONE_STR,,,-2.9591836734693877,-5.0,2.6556914387399333,plot_unknown1,NONE_STR,,,2.0,2.0,17981.0,
ymax,378.3720407541641,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,Standard Deviation,,,5.789473684210526,0.10773491501182506,,plot_group_style,Standard Deviation,,,6.789473684210526,0.9313237756924168,,plot_group_style,NONE_STR,,,,,,,plot_group_style,NONE_STR,,,,,,,plot_group_style,NONE_STR,,,,20.575918211290677,,plot_group_style,NONE_STR,,,,39.090074168817154,,plot_group_style,NONE_STR,,,5.789473684210526,3.672993285708612,0.32000000000000006,,plot_group_style,Standard Deviation,,,2.383277185481912,7.93151970321819,,plot_group_style,NONE_STR,,,7.325910533557359,16.924789204140144,,plot_group_style,NONE_STR,,,9.999284629176582,,10.000715370823418,8.498832531012942,,plot_group_style,NONE_STR,,,10.99879098070382,,11.00120901929618,10.123680058767086,,plot_group_style,NONE_STR,,,16.789473684210527,-0.4051083813521518,0.009954851179907569,-0.2325205817576477,,plot_group_style,NONE_STR,,,-2.7551020408163263,-5.0,4.840852536832125,plot_group_style,NONE_STR,,,2.0,3.0,18862.0,
,,,,,,,,plot_use_automatic_legends,True,,,6.315789473684211,0.05657159701747222,,plot_use_automatic_legends,True,,,7.315789473684211,0.5809131674275829,,plot_use_automatic_legends,True,,,,,,,plot_use_automatic_legends,True,,,,,,,plot_use_automatic_legends,True,,,,30.637088972281294,,plot_use_automatic_legends,True,,,,29.2423838040394,,plot_use_automatic_legends,True,,,6.315789473684211,1.0102684611275214,0.32000000000000006,,plot_use_automatic_legends,True,,,2.5999387477984497,8.577689243640885,,plot_use_automatic_legends,True,,,12.392075123244023,20.93017832776323,,plot_use_automatic_legends,True,,,9.999156136675227,,10.000843863324773,8.894883306562855,,plot_use_automatic_legends,True,,,10.998560766011753,,11.001439233988247,10.557111735967672,,plot_use_automatic_legends,True,,,17.315789473684212,-0.13331051982261952,0.004738296659819637,-0.022056520645002662,,plot_use_automatic_legends,True,,,-2.5510204081632653,-5.0,3.839934650657766,plot_use_automatic_legends,True,,,3.0,0.0,17400.0,
,,,,,,,,,,,,6.842105263157895,0.015349408440910657,,,,,,7.842105263157895,0.38817526245510775,,,,,,,,,,,,,,,,,,,,,,,19.34795658187703,,,,,,,30.741733340039545,,,,,,6.842105263157895,-3.7813325059340306,0.32000000000000006,,,,,,2.8166003101149872,7.049536831786099,,,,,,7.282466945455438,15.270873727888407,,,,,,9.999007486193966,,10.000992513806034,9.290934082112768,,,,,,10.998291744938548,,11.001708255061452,10.990543413168258,,,,,,17.842105263157894,0.6903907733495934,0.0021337772865924073,-0.9418410310200969,,,,,,-2.3469387755102042,-5.0,4.787785934867452,,,,,3.0,1.0,12920.0,
,,,,,,,,,,,,7.368421052631579,0.02657905088383632,,,,,,8.368421052631579,0.3154487373798886,,,,,,,,,,,,,,,,,,,,,,,32.47014591595959,,,,,,,27.616102893989172,,,,,,7.368421052631579,-5.279043858209499,0.32000000000000006,,,,,,3.0332618724315243,6.930339095598106,,,,,,12.235880050499992,20.18294072195529,,,,,,9.998836062842537,,10.001163937157463,9.686984857662683,,,,,,10.997978384258028,,11.002021615741972,11.423975090368845,,,,,,18.36842105263158,1.1450327360916468,0.0009091076068567284,0.1994684923938111,,,,,,-2.142857142857143,-5.0,4.288341215927951,,,,,3.0,2.0,13850.0,
,,,,,,,,,,,,7.894736842105263,0.0186478834895203,,,,,,8.894736842105264,0.3191693117736053,,,,,,,,,,,,,,,,,,,,,,,36.74593305898364,,,,,,,39.92793469392011,,,,,,7.894736842105263,-7.440815083282334,0.32000000000000006,,,,,,3.249923434748062,7.492132600527888,,,,,,12.029414765496256,19.847135704456832,,,,,,9.998639006011686,,10.001360993988314,10.083035633212596,,,,,,10.997614548792463,,11.002385451207537,11.85740676756943,,,,,,18.894736842105264,-0.4178690514851358,0.000366455175249368,-0.1658305201784072,,,,,,-1.9387755102040813,-5.0,3.6300111589702655,,,,,3.0,3.0,20109.0,
,,,,,,,,,,,,8.421052631578947,0.07553617447898017,,,,,,9.421052631578947,0.3191297376957453,,,,,,,,,,,,,,,,,,,,,,,35.61426748556811,,,,,,,29.896233944710545,,,,,,8.421052631578947,-5.348420129045715,0.32000000000000006,,,,,,3.4665849970645994,7.923455993458059,,,,,,5.987369134444067,14.33750688569161,,,,,,9.998413200917948,,10.001586799082052,10.479086408762509,,,,,,10.997193468343959,,11.002806531656041,12.290838444770017,,,,,,19.421052631578945,0.18209147215732938,0.00013975449684038103,-0.8060697712603693,,,,,,-1.7346938775510203,-5.0,3.9617894228687556,,,,,,,,
,,,,,,,,,,,,8.947368421052632,-0.009924303940344622,,,,,,9.947368421052632,-0.04729042732646674,,,,,,,,,,,,,,,,,,,,,,,38.87852899673082,,,,,,,19.944595275944177,,,,,,8.947368421052632,-3.3233819181097766,0.32000000000000006,,,,,,3.683246559381137,8.676885987547834,,,,,,8.950894482236277,18.976525163952616,,,,,,9.998155272173896,,10.001844727826104,10.875137184312422,,,,,,10.99670770849184,,11.00329229150816,12.724270121970601,,,,,,19.94736842105263,-0.830305973796523,5.042548527783566e-05,0.7156058636691404,,,,,,-1.5306122448979593,-5.0,3.752362159687713,,,,,,,,
,,,,,,,,,,,,9.473684210526315,0.015779910258261413,,,,,,10.473684210526315,0.1298116158539735,,,,,,,,,,,,,,,,,,,,,,,32.39863764850647,,,,,,,47.42095032137966,,,,,,9.473684210526315,-1.0406590752818559,0.32000000000000006,,,,,,3.8999081216976745,6.565989173207649,,,,,,13.190227214909873,20.665460635094945,,,,,,9.997861579756767,,10.002138420243233,11.271187959862335,,,,,,10.996149146466857,,11.003850853533143,13.157701799171189,,,,,,20.473684210526315,0.26884494960546024,1.7213680813296675e-05,0.28611578008127525,,,,,,-1.3265306122448979,-5.0,4.447597329213689,,,,,,,,
,,,,,,,,,,,,10.0,-0.04265938703532376,,,,,,11.0,-0.1489671339469409,,,,,,,,,,,,,,,,,,,,,,,32.944102762185224,,,,,,,28.65026489943832,,,,,,10.0,2.1528045568891647,0.32000000000000006,,,,,,4.116569684014212,8.654462772961196,,,,,,10.374929339412624,18.034846445927727,,,,,,9.997528217749602,,10.002471782250398,11.66723873541225,,,,,,10.995508953411282,,11.004491046588718,13.591133476371775,,,,,,21.0,-0.452380639721794,5.559513241650146e-06,-0.1584752901374345,,,,,,-1.1224489795918364,-5.0,3.072249644866066,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.191566260071696,,,,,,,30.257843221032918,,,,,,,,,,,,,,4.333231246330749,6.26975804841497,,,,,,11.242558038789142,20.11599562253572,,,,,,9.997151016221336,,10.002848983778664,12.063289510962163,,,,,,10.99477758441637,,11.00522241558363,14.024565153572361,,,,,,,,,,,,,,,-0.9183673469387754,-5.0,3.5900007071457805,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.270984647527456,,,,,,,32.655848995044465,,,,,,,,,,,,,,4.549892808647287,7.664014930248211,,,,,,7.054478024448414,15.153973989810229,,,,,,9.99672554659485,,10.00327445340515,12.459340286512075,,,,,,10.993944777789915,,11.006055222210085,14.457996830772947,,,,,,,,,,,,,,,-0.7142857142857144,-5.0,3.7535312931064193,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4158024744782,,,,,,,24.201274046568827,,,,,,,,,,,,,,4.766554370963824,6.215466870693584,,,,,,10.133243146220105,18.510407390185954,,,,,,9.996247130823924,,10.003752869176076,12.85539106206199,,,,,,10.992999565041647,,11.007000434958353,14.891428507973533,,,,,,,,,,,,,,,-0.5102040816326525,-5.0,4.244292330941809,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.46345783113654,,,,,,,34.87942874853913,,,,,,,,,,,,,,4.983215933280362,6.986353207541539,,,,,,11.026142949887586,17.24673422918749,,,,,,9.995710854660755,,10.004289145339245,13.251441837611903,,,,,,10.99193029307743,,11.00806970692257,15.324860185174119,,,,,,,,,,,,,,,-0.3061224489795915,-5.0,3.707600681812128,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.861621511323527,,,,,,,35.94657521789852,,,,,,,,,,,,,,5.199877495596899,6.046130686346887,,,,,,10.39913684777952,18.118512531371067,,,,,,9.995111585244977,,10.004888414755023,13.647492613161816,,,,,,10.990724660059557,,11.009275339940443,15.758291862374705,,,,,,,,,,,,,,,-0.1020408163265305,-5.0,4.313609005405935,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.160102198619857,,,,,,,18.610854186713553,,,,,,,,,,,,,,5.416539057913437,8.108134364096221,,,,,,11.96353680377197,18.760448988312515,,,,,,9.994443993182657,,10.005556006817343,14.04354338871173,,,,,,10.989369766314788,,11.010630233685212,16.191723539575293,,,,,,,,,,,,,,,0.1020408163265305,-5.0,2.170204992395896,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.822486582886448,,,,,,,41.584295955105546,,,,,,,,,,,,,,5.6332006202299745,8.42811381408782,,,,,,13.593445183056163,20.970829008615965,,,,,,9.993702579210265,,10.006297420789735,14.439594164261642,,,,,,10.987852181549911,,11.012147818450089,16.625155216775877,,,,,,,,,,,,,,,0.3061224489795915,-5.0,3.8087146212983196,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.41862022712158,,,,,,,44.280143651271686,,,,,,,,,,,,,,5.849862182546511,8.343035994138507,,,,,,9.07523975116814,16.766777240213113,,,,,,9.992881705454414,,10.007118294545586,14.835644939811557,,,,,,10.986158029462644,,11.013841970537356,17.058586893976464,,,,,,,,,,,,,,,0.5102040816326534,-5.0,2.9229095177069055,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.868205404345716,,,,,,,18.50343894336991,,,,,,,,,,,,,,6.066523744863049,6.5371690111552905,,,,,,12.205310497154327,20.08871433504998,,,,,,9.991975631204586,,10.008024368795414,15.23169571536147,,,,,,10.984273090611195,,11.015726909388805,17.49201857117705,,,,,,,,,,,,,,,0.7142857142857144,-5.0,5.000231900701175,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4628296818754,,,,,,,36.64143203154816,,,,,,,,,,,,,,6.283185307179586,7.435294189470941,,,,,,12.41424093048809,19.21900481402928,,,,,,9.990978553014529,,10.009021446985471,15.627746490911383,,,,,,10.982182924127223,,11.017817075872777,17.925450248377636,,,,,,,,,,,,,,,0.9183673469387754,-5.0,1.978033772228672,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.967008717608612,,,,,,,16.98851068992236,,,,,,,,,,,,,,,,,,,,,9.791074717416269,15.980372636692056,,,,,,9.989884648840397,,10.010115351159603,16.023797266461298,,,,,,10.979873008524459,,11.020126991475541,18.358881925578224,,,,,,,,,,,,,,,1.1224489795918373,-5.0,3.6959455910972197,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.74788292007401,,,,,,,49.19596043740046,,,,,,,,,,,,,,,,,,,,,8.903772367632126,18.425667268468178,,,,,,9.98868812581231,,10.01131187418769,16.41984804201121,,,,,,10.977328901470548,,11.022671098529452,18.79231360277881,,,,,,,,,,,,,,,1.3265306122448983,-5.0,3.4097866964467176,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.656257755516577,16.793614085019964,,,,,,9.987383271123461,,10.012616728876539,16.815898817561123,,,,,,10.974536417956545,,11.025463582043455,19.225745279979392,,,,,,,,,,,,,,,1.5306122448979593,-5.0,3.409650212875869,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.467885502618502,17.87620871855144,,,,,,9.985964505410122,,10.014035494589878,17.211949593111036,,,,,,10.971481825822508,,11.028518174177492,19.65917695717998,,,,,,,,,,,,,,,1.7346938775510203,-5.0,3.1385495388276077,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1646575739439,16.784210801337608,,,,,,9.98442643789009,,10.01557356210991,17.60800036866095,,,,,,10.968152057086652,,11.031847942913348,20.092608634380568,,,,,,,,,,,,,,,1.9387755102040813,-5.0,2.7632640251098954,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.827588440947853,16.863586097092718,,,,,,9.982763922429502,,10.017236077570498,18.004051144210862,,,,,,10.964534932989348,,11.035465067010652,20.526040311581152,,,,,,,,,,,,,,,2.1428571428571432,-5.0,2.598902423900407,,,,,,,,
