visual parameter,value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,ii,label,x,y_lower,y_upper,bgra,gw_param_keys 1,gw_param_values 1,ii,label,x,y,yerr,bgra,gw_param_keys 2,gw_param_values 2,ii,label,x,xerr,y,bgra,gw_param_keys 3,gw_param_values 3,ii,label,x,y,bgra,gw_param_keys 4,gw_param_values 4,ii,label,y,x,bgra,gw_param_keys 5,gw_param_values 5,ii,label,x,y,yerr,bgra,gw_param_keys 6,gw_param_values 6,ii,label,degree,r,bgra,gw_param_keys 7,gw_param_values 7,ii,label,x,y,bgra,gw_param_keys 8,gw_param_values 8,ii,label,x_lower,x,x_upper,y,bgra,gw_param_keys 9,gw_param_values 9,ii,label,x,y_lower,y,y_upper,bgra,gw_param_keys 10,gw_param_values 10,ii,label,x,y,z,gw_param_keys 11,gw_param_values 11,ii,label,x,y,z,class_names
ymin,-1.0946791174833814,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,,,5.263157894736842,0.05545461903166083,0.07040416887455055,,plot_unknown1,NONE_STR,,,,,,,plot_unknown1,NONE_STR,,,,,,,plot_unknown1,NONE_STR,,,,23.46418723609948,,plot_unknown1,NONE_STR,,,,28.155008356803556,,plot_unknown1,NONE_STR,,,5.263157894736842,6.002119038459764,0.30000000000000004,,plot_unknown1,NONE_STR,,,124.13793103448276,7.660902566074684,,plot_unknown1,NONE_STR,,,7.893187801989228,13.808965308991446,,plot_unknown1,NONE_STR,,,8.998955931812498,,9.001044068187502,6.540772970333128,,plot_unknown1,NONE_STR,,,14.263157894736842,0.653665235959005,1.4615514725363904e-09,-0.24467379788228,,plot_unknown1,NONE_STR,,,-2.9591836734693877,-5.0,2.7942864047754727,plot_unknown1,NONE_STR,,,2.0,2.0,20963.0,
ymax,10.528318053213495,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,Standard Deviation,,,5.789473684210526,-0.037692435684472454,0.05392936564378498,,plot_group_style,NONE_STR,,,,,,,plot_group_style,NONE_STR,,,,,,,plot_group_style,NONE_STR,,,,13.313280329455766,,plot_group_style,NONE_STR,,,,20.575918211290677,,plot_group_style,NONE_STR,,,5.789473684210526,5.3159535598133285,0.30000000000000004,,plot_group_style,Standard Deviation,,,136.55172413793105,6.200789443809808,,plot_group_style,NONE_STR,,,8.014284794398167,14.609048649394554,,plot_group_style,NONE_STR,,,8.998760319067099,,9.001239680932901,6.906623271956292,,plot_group_style,NONE_STR,,,14.789473684210526,-0.040399557544781646,3.167674569320077e-10,-0.15177228365600298,,plot_group_style,NONE_STR,,,-2.7551020408163263,-5.0,4.228346048512655,plot_group_style,NONE_STR,,,2.0,3.0,14505.0,
,,,,,,,,plot_use_automatic_legends,True,,,6.315789473684211,-0.019532175497227137,-0.0258695766213831,,plot_use_automatic_legends,True,,,,,,,plot_use_automatic_legends,True,,,,,,,plot_use_automatic_legends,True,,,,12.481777702752172,,plot_use_automatic_legends,True,,,,30.637088972281294,,plot_use_automatic_legends,True,,,6.315789473684211,3.1488369849773057,0.30000000000000004,,plot_use_automatic_legends,True,,,148.96551724137933,6.155062587204167,,plot_use_automatic_legends,True,,,4.933805391057761,13.86464405238728,,plot_use_automatic_legends,True,,,8.998532433225375,,9.001467566774625,7.272473573579457,,plot_use_automatic_legends,True,,,15.31578947368421,0.6002773310355353,6.495406941322053e-11,0.012114185753551547,,plot_use_automatic_legends,True,,,-2.5510204081632653,-5.0,2.315483754673876,plot_use_automatic_legends,True,,,3.0,0.0,12272.0,
,,,,,,,,,,,,6.842105263157895,0.0031819067916278162,-0.08977416579492711,,,,,,,,,,,,,,,,,,,,,,,28.41245268591751,,,,,,,19.34795658187703,,,,,,6.842105263157895,0.5260277796983494,0.30000000000000004,,,,,,161.37931034482762,7.051859962941731,,,,,,5.527593405905676,12.998584201884212,,,,,,8.99826781477257,,9.00173218522743,7.63832387520262,,,,,,15.842105263157894,0.4355338446732383,1.2601189308053088e-11,-0.05793730224495493,,,,,,-2.3469387755102042,-5.0,1.7046139365112982,,,,,3.0,1.0,15977.0,
,,,,,,,,,,,,7.368421052631579,-0.017807272390706248,-0.013009718219742596,,,,,,,,,,,,,,,,,,,,,,,19.302752940019992,,,,,,,32.47014591595959,,,,,,7.368421052631579,-2.698831940854804,0.30000000000000004,,,,,,173.79310344827584,6.498919124254536,,,,,,5.848540570012609,13.10641305096317,,,,,,8.997961545392792,,9.002038454607208,8.004174176825785,,,,,,16.36842105263158,0.28978569079207817,2.3128958180168298e-12,0.2311944366993391,,,,,,-2.142857142857143,-5.0,2.636391845663975,,,,,3.0,2.0,19804.0,
,,,,,,,,,,,,7.894736842105263,-0.014719549247906385,0.00978161557600596,,,,,,,,,,,,,,,,,,,,,,,26.441880463876387,,,,,,,36.74593305898364,,,,,,7.894736842105263,-4.782642869423442,0.30000000000000004,,,,,,186.20689655172416,7.034041139989408,,,,,,4.684279091982695,14.027321027330311,,,,,,8.997608227354405,,9.002391772645595,8.370024478448949,,,,,,16.894736842105264,0.7445436593220073,4.0164278478081785e-13,0.2573716698458207,,,,,,-1.9387755102040813,-5.0,2.9967197765095297,,,,,3.0,3.0,15217.0,
,,,,,,,,,,,,8.421052631578947,-0.07387173283678045,0.0623467548574859,,,,,,,,,,,,,,,,,,,,,,,20.021610797366556,,,,,,,35.61426748556811,,,,,,8.421052631578947,-4.86640141822945,0.30000000000000004,,,,,,198.6206896551724,6.949706177926271,,,,,,6.954000855412243,16.242066265405438,,,,,,8.997201966515336,,9.002798033484664,8.735874780072113,,,,,,17.421052631578945,-0.36215543611376644,6.598773660101917e-14,0.2072081668682155,,,,,,-1.7346938775510203,-5.0,2.8693462992457737,,,,,,,,
,,,,,,,,,,,,8.947368421052632,0.010591522436235465,0.060452601687165985,,,,,,,,,,,,,,,,,,,,,,,23.100593699716953,,,,,,,38.87852899673082,,,,,,8.947368421052632,-6.049845300930059,0.30000000000000004,,,,,,211.0344827586207,6.805242648441083,,,,,,4.807783389903712,12.697555652294035,,,,,,8.996736359818948,,9.003263640181052,9.101725081695278,,,,,,17.94736842105263,1.0916926608835449,1.025712997225219e-14,0.7034829073877572,,,,,,-1.5306122448979593,-5.0,2.8415974171869496,,,,,,,,
,,,,,,,,,,,,9.473684210526315,-0.015526859906828727,-0.01923981569468127,,,,,,,,,,,,,,,,,,,,,,,16.47261601381524,,,,,,,32.39863764850647,,,,,,9.473684210526315,-3.266696732265141,0.30000000000000004,,,,,,223.44827586206898,7.092957552437438,,,,,,6.84469015363904,14.344778776799274,,,,,,8.996204488186315,,9.003795511813685,9.467575383318442,,,,,,18.473684210526315,-1.448179888508811,1.5084393357892832e-15,0.024996057864953444,,,,,,-1.3265306122448979,-5.0,1.7540648206206433,,,,,,,,
,,,,,,,,,,,,10.0,0.042750186894848725,-0.015069737599004294,,,,,,,,,,,,,,,,,,,,,,,28.286375368387947,,,,,,,32.944102762185224,,,,,,10.0,0.06401231950605513,0.30000000000000004,,,,,,235.86206896551724,5.663659859433295,,,,,,-0.19667357448749634,10.587110159288473,,,,,,8.995598915727111,,9.004401084272889,9.833425684941606,,,,,,19.0,-0.2915585288295228,2.0987910487930498e-16,-0.06898899699294045,,,,,,-1.1224489795918364,-5.0,2.510391378786677,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.185686658651253,,,,,,,28.191566260071696,,,,,,,,,,,,,,248.27586206896552,6.807127822302916,,,,,,5.36645044142169,14.289694299062576,,,,,,8.994911696185637,,9.005088303814363,10.199275986564771,,,,,,,,,,,,,,,-0.9183673469387754,-5.0,2.3473470978573374,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.85620070675189,,,,,,,29.270984647527456,,,,,,,,,,,,,,260.6896551724138,7.541879923840832,,,,,,4.560650735841232,13.851011201421345,,,,,,8.99413438750693,,9.00586561249307,10.565126288187935,,,,,,,,,,,,,,,-0.7142857142857144,-5.0,2.4083091404825505,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.626121461802903,,,,,,,20.4158024744782,,,,,,,,,,,,,,273.1034482758621,7.5170885656653414,,,,,,6.109426484567685,14.67846812137852,,,,,,8.993258075347807,,9.006741924652193,10.930976589811099,,,,,,,,,,,,,,,-0.5102040816326525,-5.0,2.793251752970605,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06431768147459,,,,,,,36.46345783113654,,,,,,,,,,,,,,285.51724137931035,6.4106734555684675,,,,,,1.0121731998495642,11.452953585292393,,,,,,8.992273406266124,,9.007726593733876,11.296826891434263,,,,,,,,,,,,,,,-0.3061224489795915,-5.0,3.7351726749828917,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.361859961483106,,,,,,,20.861621511323527,,,,,,,,,,,,,,297.93103448275866,5.645270113712673,,,,,,4.410982707837545,14.366169224080473,,,,,,8.991170631197004,,9.008829368802996,11.662677193057428,,,,,,,,,,,,,,,-0.1020408163265305,-5.0,2.1998214508431833,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.236622656052276,,,,,,,24.160102198619857,,,,,,,,,,,,,,310.3448275862069,6.509186961066285,,,,,,7.437831680769407,14.45598155528719,,,,,,8.989939659665867,,9.010060340334133,12.028527494680592,,,,,,,,,,,,,,,0.1020408163265305,-5.0,2.053663153665846,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0811887982649,,,,,,,31.822486582886448,,,,,,,,,,,,,,322.75862068965523,7.771410305888918,,,,,,4.883456805906703,13.701314429919584,,,,,,8.988570124995283,,9.011429875004717,12.394377796303756,,,,,,,,,,,,,,,0.3061224489795915,-5.0,3.1919595352478707,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.969203642867118,,,,,,,33.41862022712158,,,,,,,,,,,,,,335.17241379310343,6.941353884393607,,,,,,5.037376555551927,13.053648242691375,,,,,,8.987051460536843,,9.012948539463157,12.760228097926921,,,,,,,,,,,,,,,0.5102040816326534,-5.0,2.37814667792663,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.068841421848802,,,,,,,21.868205404345716,,,,,,,,,,,,,,347.5862068965517,6.000179668570509,,,,,,2.7531795427579655,11.758587670706625,,,,,,8.985372986703235,,9.014627013296765,13.126078399550085,,,,,,,,,,,,,,,0.7142857142857144,-5.0,3.2715587471859564,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.441648167420112,,,,,,,25.4628296818754,,,,,,,,,,,,,,360.0,7.0367946986243,,,,,,3.7211261751282025,15.040673052682164,,,,,,8.983524008293402,,9.016475991706598,13.491928701173249,,,,,,,,,,,,,,,0.9183673469387754,-5.0,2.401529334532078,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.687728639453038,,,,,,,13.967008717608612,,,,,,,,,,,,,,,,,,,,,3.0445757736772476,13.254848511717544,,,,,,8.98149392130079,,9.01850607869921,13.857779002796413,,,,,,,,,,,,,,,1.1224489795918373,-5.0,2.4050563030437315,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69237079162653,,,,,,,41.74788292007401,,,,,,,,,,,,,,,,,,,,,4.003273528238336,13.706552632788386,,,,,,8.979272328077935,,9.020727671922065,14.223629304419578,,,,,,,,,,,,,,,1.3265306122448983,-5.0,2.3453016957004813,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.439279631009736,12.776284549681884,,,,,,8.97684915940893,,9.02315084059107,14.589479606042742,,,,,,,,,,,,,,,1.5306122448979593,-5.0,1.3722137198331805,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.923165837127843,18.02296558523611,,,,,,8.974214801723997,,9.025785198276003,14.955329907665906,,,,,,,,,,,,,,,1.7346938775510203,-5.0,1.3037385276861386,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735958047263547,9.848113728464199,,,,,,8.971360227388491,,9.028639772611509,15.321180209289071,,,,,,,,,,,,,,,1.9387755102040813,-5.0,2.372186002519446,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063657303713903,18.386140688635372,,,,,,8.968277125724013,,9.031722874275987,15.687030510912235,,,,,,,,,,,,,,,2.1428571428571432,-5.0,1.8401731707935167,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7617185035224,12.894589906337792,,,,,,8.96495803218378,,9.03504196781622,16.0528808125354,,,,,,,,,,,,,,,2.3469387755102042,-5.0,2.7162664126498948,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.941002232350039,14.239109989767366,,,,,,8.96139645292044,,9.03860354707956,16.41873111415856,,,,,,,,,,,,,,,2.5510204081632653,-5.0,1.3049894839124365,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0168081755899867,10.68504659419119,,,,,,8.957586981863765,,9.042413018136235,16.78458141578173,,,,,,,,,,,,,,,2.755102040816327,-5.0,2.918082756491665,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.710500877946659,11.807928034017268,,,,,,8.953525407379232,,9.046474592620768,17.150431717404892,,,,,,,,,,,,,,,2.959183673469388,-5.0,2.171963646942847,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8841763096480393,10.799481385927113,,,,,,8.949208805615443,,9.050791194384557,17.516282019028054,,,,,,,,,,,,,,,3.163265306122449,-5.0,1.2170031553628857,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.460778713475285,14.551915260788103,,,,,,8.944635617776575,,9.055364382223425,17.882132320651223,,,,,,,,,,,,,,,3.36734693877551,-5.0,1.3527772370603264,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.790929114320143,11.82908738695265,,,,,,8.939805708780057,,9.060194291219943,18.247982622274385,,,,,,,,,,,,,,,3.571428571428571,-5.0,1.4050050750145986,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288849973560784,11.743776291047137,,,,,,8.934720405081718,,9.065279594918282,18.613832923897547,,,,,,,,,,,,,,,3.775510204081632,-5.0,0.8293856700708815,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.006127853052494,13.385861647840983,,,,,,8.929382509869145,,9.070617490130855,18.979683225520713,,,,,,,,,,,,,,,3.979591836734695,-5.0,1.4037104044028041,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50742606308497,14.48480958963088,,,,,,8.92379629433384,,9.07620370566616,19.34553352714388,,,,,,,,,,,,,,,4.183673469387756,-5.0,0.7281187661841708,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.367278501206636,15.435528836246785,,,,,,8.917967464325134,,9.082032535674866,19.71138382876704,,,,,,,,,,,,,,,4.387755102040817,-5.0,0.959378780401498,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2403304679939904,11.97824638110129,,,,,,8.911903102350557,,9.088096897649443,20.077234130390206,,,,,,,,,,,,,,,4.591836734693878,-5.0,1.3187343995328864,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.771474021648037,11.144103938589229,,,,,,8.905611585602276,,9.094388414397724,20.44308443201337,,,,,,,,,,,,,,,4.795918367346939,-5.0,1.6784693731790592,,,,,,,,
